hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Chelsea Duplex Apartment,10011,7,7.7,7.2,8.2,8.6,7.9,6.8,7.5,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.2,0
One Bedroom Apartment - Mott Street #16,10013,15,7.3,7.7,7,6.8,7.7,7,10,7.8,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,3.1,1
Macy Empire Apartments,10001,214,7.3,7.1,6.7,6.7,7.6,6.9,8,8.8,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1.5,1
Steps From Times Sq and Central Park,10019,30,7.6,7.4,7.2,7.9,7.5,7,7.8,8.7,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2300,1
Studio Apartment - United Nations Plaza,10017,28,7.8,7.8,7.3,7.4,7.6,7.8,9.4,9.1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1.3,1
Bloc Away From Central Park Three-Bedroom Apartment with Private Balcony,10025,22,6.5,6.3,6.9,6.3,6,6.1,10,7.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1
NY Away - Hells Kitchen/ Times Square 2 Bedroom,10019,57,7.7,7.8,8,7.7,7.4,7,6.9,8.3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2800,1
Prime Location Times Square 2 Bedrooms,10018,6,8,8.5,7.5,7.5,7.9,7.5,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.2,2
Vanderbilt YMCA,10017,5337,7.2,7.3,6.2,6.9,7.2,7.1,7.6,8.7,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1.2,1
Central Two Bedroom Apartment In Times Square,10018,87,6.1,5.7,5.2,5.4,6.1,5.4,7.7,8.4,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1.1,1
Two Bedroom Apartment with City View - Lincoln Center,10023,8,7.6,7.5,7.8,7.8,7.5,7.2,7.5,7.8,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0.6,1
Midtown Convention Center Hotel NYC,10018,2166,6.6,6.4,6.3,6.2,7.3,6.4,8,7.2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1.1,1
Chelsea Savoy,10011,128,7.6,7.9,7.1,6.8,7.9,7,7.7,8.6,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1.8,1
Three-Bedroom Apartment with Two Bathrooms - East 55th Street,10022,14,8,7.5,8,7.9,8.9,6.8,7.5,8.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1,0
St Marks Hotel,10003,553,7.1,7.1,6.1,6.1,7.8,6.9,7.9,8.5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2.7,1
Paramount Times Square,10036,5060,6.8,6.7,6.2,6.2,7.1,5.8,6.8,8.6,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.7,1
Mayfair New York Times Square,10019,569,7.3,7.1,6.6,6.3,7.9,6.8,7.9,9.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2800,1
West Side YMCA,10023,5723,7.2,6.7,6.1,6.6,7.4,7.2,7.8,9.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1150,1
Hudson River Hotel,10018,1545,6.9,6.9,6.5,6.2,8,6.5,7.1,7.5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1.2,1
Econo Lodge Times Square,10036,791,7.4,7.5,6.4,6.7,8.1,6.8,8.1,9.1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0.6,1
Bryant Park Studio Apartment Times Square South,10018,34,7.9,7.2,7.9,7.7,8.3,7.1,8.6,9.1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.1,0
Madison Avenue Luxury Two Bedroom Apartments Next to Times Square,10016,55,7.1,7.6,6.4,6.8,7.5,6,7.7,8.1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1.6,1
Midtown Times Square Apartment,10019,12,7.7,6.9,7.5,7.7,8.1,6.9,9.5,8.8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2600,1
36 Hudson Hotel,10018,710,7.6,7.9,7.3,6.9,8.4,7.2,8,7.9,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.2,1
Little Italy Penthouse,10013,18,7.9,7.7,7,7.8,8.8,7.4,8.8,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.1,0
2 Bedroom Apartment Hell's Kitchen,10018,32,7,7.4,6.3,6.2,7.2,6,8.1,8.8,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2150,1
The Manhattan at Times Square,10019,8229,6.9,6.4,6.6,6.2,7.3,6.1,8.9,9,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2300,1
Park West Hotel,10025,588,7,7,6.2,6.1,7.9,6.6,4.8,7.9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2.4,1
Manhattan Studio Apartments,10001,188,7.3,7.1,7,7,6.9,7,9.1,9,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1.5,1
