hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
Marriott's Harbour Lake,32821,247,9.4,9.5,9.5,9.5,9.5,9.1,9.3,9.5,0,1,0,1,0,0,0,1,1,0,1,1,0,10.6,0
VISTA CAY DISNEY PARADISE 6,32819,5,9.8,9.5,9.5,10,10,9.5,10,5,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1,2
Gaylord Palms Resort & Convention Center,34746,1210,8.6,8.9,8.7,8.9,8.6,7.8,7.4,8.9,0,0,0,1,1,1,0,0,1,0,1,0,1,15.5,0
Hilton Garden Inn Orlando International Drive North,32819,205,9,9.1,9,8.9,9.2,8.7,7.9,9.3,0,1,1,1,0,0,0,1,0,0,1,1,0,6.2,0
Park Plaza Hotel Orlando - Winter Park,32789,154,8.3,8.7,7.8,7.7,9.1,7.1,8.4,9.1,0,1,0,0,0,0,0,1,0,1,0,1,0,4.3,1
Blue Tree Resort at Lake Buena Vista,32836,548,8.4,8.1,8.2,8.4,8.4,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,12.4,0
"Castle Hotel, Autograph Collection",32819,266,8.7,8.7,8.8,8.5,8.9,7.9,8.4,9,0,0,0,1,1,0,0,1,1,1,1,0,0,8.1,0
Tink's Movie Castle,34747,5,9.8,10,10,10,9,10,10,5,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3,2
Courtyard by Marriott Orlando Lake Nona,32837,114,9.3,9.6,9.5,9.3,9.4,9,8.7,8.9,0,1,1,0,0,0,0,1,0,0,0,0,0,12.4,0
Wingate by Wyndham - Universal Studios and Convention Center,32819,584,8.3,8.3,8.4,8,8.5,7.9,8,8.7,0,1,1,1,0,0,0,1,0,0,0,1,0,5.6,1
Hilton Garden Inn Orlando at SeaWorld,32821,416,8.7,8.7,8.7,8.5,9,8.2,8.7,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,9.9,0
"Hawthorn Suites by Wyndham Lake Buena Vista, a staySky Hotel & Resort",32836,928,8.1,7.7,8.1,7.9,8.4,8.1,8.7,8.7,0,1,1,1,0,0,0,1,0,0,0,1,0,11.8,1
Celebrate BR,34747,19,8.9,8.8,8.6,9,9.2,8.8,9.4,9,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3,0
Best Western Orlando Convention Center Hotel,32821,1973,8.2,8.2,7.9,7.9,8.5,8.2,8.7,8.5,1,1,0,1,0,0,0,1,1,0,0,0,0,9.3,1
