hotel,Score,Cleanliness,Comfort
Beverly Hills Marriott,7.9,8.4,8.2
Los Comfy Apartment,9.1,9.4,9.2
LA Luxury Suite at The Grove | 2BR&2BT | Pool | Free Parking,8.6,8.6,8.3
Downtown LA Luxe Staples Center Suite,8.1,8.3,7.8
"WeHo Palace, 2 Bedroom 2 Full Bath",8.1,8.3,8.1
Chic 2 Bedroom/2 Bathroom Suite at the Beach,7.3,6.8,8.2
Oceana Beach Club Hotel,8.2,8.7,8.4
Popular Hollywood and The Grove Luxury Pavilion Resort Style Suite,7.6,7.3,7.6
Urban Dtla Paradise Suite,8.6,9.7,8.6
"Prime West Hollywood, Gorgeous & Renovated 2 Bed 2 Bath",7.9,7.9,8.1
Live like a Hollywood Celebrity,7.6,8.1,7.0
Living The LA Dream 2 bed 2 bath,8.6,8.9,8.7
The Westin Bonaventure Hotel & Suites,8.3,8.7,8.5
Executive Lifestyle Apartment,8.7,8.5,8.9
Kimpton Hotel Wilshire,8.1,8.4,8.4
Downtown LA Modern Staples Center Suite,8.4,8.9,8.3
"Channel Road Inn, A Four Sisters Inn",9.2,9.6,9.4
Venice Beach Vacation Condos,8.3,8.6,8.4
American Hotel,8.1,8.5,8.0
Hilton Garden Inn Los Angeles / Hollywood,7.9,8.2,7.8
Urban DTLA Two Level Staples Center Loft,9.2,9.5,9.3
"Santa Monica Duplex, 3 Bed 2 Bath",8.0,8.6,8.6
Popular Downtown LA Venetian Resort Style Suite,7.6,7.7,7.5
Popular Downtown LA Splendid Suite,8.6,8.8,8.8
Franklin Tower,8.7,8.5,8.8
Downtown LA Serene Penthouse,8.1,7.8,8.5
W Los Angeles – West Beverly Hills,7.7,8.0,7.9
Urban Hollywood Two Level Penthouse,9.2,9.0,9.3
Selby Ave Guest House,10.0,10.0,9.9
L.A. CITY LIFE HIGHRISE VIEWS - 5 BEDS,8.4,8.5,8.5
Downtown LA Dazzling Apartment,8.2,9.2,8.3
Urban Hollywood Celebrity Suite,8.5,8.2,8.6
Hollywood Historic Hotel,7.7,7.9,7.5
Hilton Los Angeles Airport,7.7,8.1,7.9
Hollywood Hotel - The Hotel of Hollywood Near Universal Studios,7.8,8.0,7.9
Renaissance Los Angeles Airport Hotel,7.9,8.3,8.1
Popular Hollywood Blvd Superstar Suite,7.8,8.2,8.2
Hollywood Blvd Stars Suite,7.8,7.8,7.6
The Hotel Hollywood,8.0,8.2,7.5
Popular Hollywood Blvd James Dean Suite,8.1,7.3,8.7
The Grove Luxe Apartment,8.1,8.3,8.0
Four Points by Sheraton Los Angeles International Airport,7.6,7.8,7.5
Popular Hollywood Boulevard Of Stars 2BR/BA Suite,8.1,7.8,8.3
Comfort Inn Santa Monica - West Los Angeles,7.8,8.2,7.9
Downtown LA Convention Center Elite Apartment,8.7,8.9,8.5
Modern Apartments in Downtown LA,7.6,7.7,8.0
Artist Home at Venice Beach - One Bedroom Oasis,7.2,6.8,6.6
Beverly Hills Celebrity Home,8.9,9.1,8.9
Mondrian Los Angeles in West Hollywood,7.7,8.0,7.9
DoubleTree by Hilton Hotel Los Angeles - Westside,7.7,8.0,7.9
DOWNTOWN L.A. SKY VIEW PENTHOUSE & 4 BEDS,8.2,7.7,8.6
Hotel MDR Marina del Rey- a DoubleTree by Hilton,7.8,8.1,8.0
Super Lovely Studio Apartment,9.0,8.0,9.5
Angel City Spacious Apartment,8.3,8.8,8.5
Hollywood 7 Bed Penthouse Superstar,7.7,7.4,7.6
Doubletree by Hilton Los Angeles Downtown,7.8,8.3,8.1
Hollywood Walk of Fame 5beds Studio,8.0,8.1,8.1
Downtown LA 5Beds Spectacular Pool,7.5,8.5,8.5
Studio City Warm Apartment,7.6,7.8,7.0
Chic and Charming 1 bdr,7.9,7.7,7.8
Hollywood House Melrose Place,7.5,7.0,7.2
Downtown Los Angeles Luxury 3-bedroom Pool Suite,8.1,8.3,8.5
"The Standard, Hollywood",7.8,7.9,7.7
DOWNTOWN L.A. 36 Story Breath Taking View Penthouse,7.8,7.7,7.7
Urban Downtown LA Sapphire Suite,8.6,9.5,8.5
Holiday Inn Express Los Angeles LAX Airport,7.9,8.1,8.0
Hollywood Hills Suites,7.9,7.6,7.8
EXQUISITE MARINA 2BDR SUITE WITH BALCONY & RELAXING VIEWS,7.9,7.8,7.5
Wingate by Wyndham Los Angeles Airport,7.6,7.9,7.9
"Hampton Inn & Suites Los Angeles/Hollywood, CA",8.6,9.2,8.8
Montrose West Hollywood,7.7,7.8,8.0
Los Angeles 5 Beds Convention Pool,7.9,8.2,8.5
Top Floor Penthouse Living Like A Rockstar,8.1,8.1,8.1
Sheraton Universal,7.5,7.5,7.5
Mid City 3 Bedroom 3 Bathroom 5 Queen Beds,8.3,8.2,8.2
The Moment Hotel,8.0,8.3,8.0
Urban Downtown LA Luxury Resort Suite,8.7,8.5,8.6
Jolly Roger Hotel,7.6,7.6,7.3
Urban Downtown LA Designer City Sky Suite,8.0,7.5,7.5
Downtown LA VIP Resort Apartment,7.4,7.8,7.0
